source,optimized,status,original_mb,optimized_mb,original_px,optimized_px
assets/hero-extended-v1-style-hd-master.jpg,assets/optimized/hero-extended-v1-style-hd-master.webp,created,4.34,0.30,7680x4320,2400x1350
assets/merch-group-white-logo-v9.jpg,assets/optimized/merch-group-white-logo-v9.webp,created,3.91,0.23,2909x4364,1600x2400
assets/photos/Black_shirt.png,assets/optimized/photos/Black_shirt.webp,created,2.97,0.18,1536x1024,1400x933
assets/photos/Dani_colour.jpg,assets/optimized/photos/Dani_colour.webp,created,6.49,0.27,3240x4860,1600x2400
assets/photos/dani_live_cropped.jpg,assets/optimized/photos/dani_live_cropped.webp,created,0.36,0.07,1748x1230,1600x1126
assets/photos/DaveRockOfAges2018edit_3.jpg,assets/optimized/photos/DaveRockOfAges2018edit_3.webp,created,0.59,0.07,978x742,978x742
assets/photos/DSC_0182-2.jpg,assets/optimized/photos/DSC_0182-2.webp,created,16.86,0.64,3072x4608,1600x2400
assets/photos/DSC_0203.jpg,assets/optimized/photos/DSC_0203.webp,created,15.43,0.22,4608x3072,1600x1067
assets/photos/DSC_0222.jpg,assets/optimized/photos/DSC_0222.webp,created,13.33,0.62,2970x4455,1600x2400
assets/photos/DSC_0284.jpg,assets/optimized/photos/DSC_0284.webp,created,18.15,0.77,3072x4608,1600x2400
assets/photos/DSC_0291_mustard.jpg,assets/optimized/photos/DSC_0291_mustard.webp,created,5.11,0.33,2930x4395,1600x2400
assets/photos/Mel Sarreal copy.jpg,assets/optimized/photos/Mel Sarreal copy.webp,created,0.29,0.11,2048x1244,1600x972
assets/photos/mikko 3.JPG,assets/optimized/photos/mikko 3.webp,created,0.43,0.40,1052x1638,1052x1638
assets/photos/Mikko GTR Smile.JPG,assets/optimized/photos/Mikko GTR Smile.webp,created,1.51,0.17,1333x2000,1333x2000
assets/photos/Punk-rock cartoon 3.png,assets/optimized/photos/Punk-rock cartoon 3.webp,created,3.45,0.53,1023x1537,1023x1537
assets/photos/Punk-rock cartoon.png,assets/optimized/photos/Punk-rock cartoon.webp,created,3.37,0.50,1023x1537,1023x1537
assets/photos/White_shirt.png,assets/optimized/photos/White_shirt.webp,created,2.87,0.15,1536x1024,1400x933
